# Sample flow file,,,,,,,
# Scenario B flow,,,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,,,
# Robert Morden University of Melbourne February 2024,,,,,,,
,year,month,C1,C2,C3,C4,C5
1914-11-01,1914,11,20.5524,112.0489,106.6575,497.4237,0.2165
1914-12-01,1914,12,100,192.7515,553.666,1848.5176,1.9451
1915-01-01,1915,1,22.5037,110.3662,128.4991,480.3758,0.0187
1915-02-01,1915,2,5.1432,98.5471,32.5694,181.3879,0.0003
1915-03-01,1915,3,1.5936,102.5406,12.9932,143.4931,0
1915-04-01,1915,4,36.891,134.217,254.5805,589.8256,0.137
1915-05-01,1915,5,100,358.6994,1263.0687,2384.7902,1.5809
1915-06-01,1915,6,160.3592,899.7269,2930.9947,6390.1709,39.3454
1915-07-01,1915,7,90.9871,306.9898,1980.9502,3768.6934,9.6191
1915-08-01,1915,8,187.0034,1146.1979,3830.6014,6494.9969,48.8945
1915-09-01,1915,9,435.0917,2098.589,6721.0529,12324.3683,203.1501
1915-10-01,1915,10,100,517.9092,2404.569,4632.9475,8.1629
1915-11-01,1915,11,34.7386,117.6383,664.0201,1573.3592,1.2783
1915-12-01,1915,12,8.314,104.2077,199.2047,477.1348,0.0066
1916-01-01,1916,1,36.4506,135.21,320.8429,1296.7258,1.5912
1916-02-01,1916,2,8.1582,100,88.1902,460.8612,0.0117
1916-03-01,1916,3,1.7129,101.9787,25.4228,191.93,0
1916-04-01,1916,4,30.1908,138.1867,217.7919,953.7125,1.0137
1916-05-01,1916,5,6.8924,108.9243,66.9977,278.8722,0.0084
1916-06-01,1916,6,100,301.7727,1155.1022,3007.891,27.002
1916-07-01,1916,7,101.0242,278.9167,1769.8509,3626.0452,3.4683
1916-08-01,1916,8,231.8711,753.5022,3155.7988,6081.6619,27.1925
1916-09-01,1916,9,1430.437,8247.9111,21454.2096,58630.3364,6814.135
1916-10-01,1916,10,601.9209,2093.1599,8590.9783,22280.6734,1612.1647
1916-11-01,1916,11,531.6011,2509.4242,5998.9626,16321.7028,1291.7458
1916-12-01,1916,12,326.0265,594.7099,2919.0921,7685.1809,110.4042
1917-01-01,1917,1,58.5011,133.4559,655.3364,1442.3648,0.6305
1917-02-01,1917,2,52.9497,158.9933,388.048,1721.4333,4.287
1917-03-01,1917,3,34.2471,157.4371,248.9464,1162.9901,1.1978
1917-04-01,1917,4,17.8065,157.1041,166.2031,1037.8088,0.3422
1917-05-01,1917,5,204.9076,552.3763,1771.0121,8127.1117,203.7118
1917-06-01,1917,6,71.3795,257.5051,503.391,3982.1472,6.0814
1917-07-01,1917,7,169.1222,1456.9404,3690.6561,14442.9093,751.4784
1917-08-01,1917,8,451.4909,2558.2611,6369.6973,15792.2189,3125.8358
1917-09-01,1917,9,334.066,2085.3554,5793.0086,13839.1881,212.8393
1917-10-01,1917,10,576.2585,2486.8197,6282.984,19440.6424,4557.3893
1917-11-01,1917,11,177.5096,694.9876,2430.5291,6555.2793,63.917
1917-12-01,1917,12,55.8411,161.6206,664.3397,1600.0673,0.4501
1918-01-01,1918,1,18.9863,133.2943,210.9796,584.2744,0.0132
1918-02-01,1918,2,4.8725,122.9944,70.8455,257.6227,0.0014
1918-03-01,1918,3,116.866,485.8739,1019.6445,2701.8051,1.5884
1918-04-01,1918,4,38.0735,149.2729,245.6046,763.3035,0.082
1918-05-01,1918,5,273.2462,636.7852,2281.358,5913.489,32.7747
1918-06-01,1918,6,185.9052,1141.727,2703.815,8538.3732,75.5224
1918-07-01,1918,7,132.4677,2000.4062,5237.4413,15891.299,105.201
1918-08-01,1918,8,96.195,1069.4257,3230.0937,9003.2387,98.0933
